sasdate,CMRMTSPLx,GDPCTPI,FEDFUNDS,INDPRO,PCECC96,GDPC1,CPIAUCSL,PPIACO
2006/9/1,262.666,0.66,0.34,0.3867,10.658,-12.016,0.1,1.3
2006/12/1,10496.334,0.34,0,0.225,37.901,106.897,-2.7334,-2.5667
2007/3/1,11711.333,0.932,0.01,0.9024,-41.903,-94.16,2.8171,2.5667
2007/6/1,6748,0.562,-0.0067,1.2678,-39.202,52.357,0.3303,6.1333
2007/9/1,5217.333,0.386,-0.1767,0.288,40.066,-4.104,-1.006,0.8334
2007/12/1,7146.334,0.425,-0.5766,0.3191,-29.333,10.576,1.2427,3.7666
2008/3/1,-15837.667,0.419,-1.32,-0.3879,-58.676,-185.813,-0.2707,6.4334
2008/6/1,-9188.667,0.366,-1.09,-1.5439,45.625,171.509,0.488,12.1333
2008/9/1,-42977.333,0.719,-0.1467,-3.3997,-97.093,-166.201,0.5553,4.4667
2008/12/1,-59519.333,0.242,-1.4333,-4.2688,-18.647,-253.729,-8.3356,-22.4334
2009/3/1,-43549.334,0.063,-0.3234,-5.3641,74.802,166.918,3.5413,-8.5
2009/6/1,-22693,-0.103,-0.0033,-2.5694,-18.686,150.264,2.6003,1.8
2009/9/1,16495,0.056,-0.0233,1.3162,114.232,76.928,0.7077,2.5334
2009/12/1,13812,0.357,-0.0367,1.3955,-87.425,111.731,-0.151,3.0333
2010/3/1,12189,0.222,0.0133,1.7757,67.344,-107.749,-1.342,5.1667
2010/6/1,24321,0.421,0.06,1.8085,31.929,83.045,-0.4207,2.1666
2010/9/1,16911.334,0.339,-0.0066,1.2264,-9.522,-27.442,0.7137,0.4
2010/12/1,9371,0.53,0,0.3157,-3.537,-36.032,1.1277,3.3667
2011/3/1,10433,0.495,-0.03,0.5356,-24.915,-116.529,0.58,7.9
2011/6/1,-3419,0.699,-0.0634,0.3853,-21.829,150.213,0.1799,7.8
2011/9/1,14015.666,0.544,-0.01,1.1266,18.469,-116.738,-1.0602,0.1333
2011/12/1,13927.667,0.157,-0.01,0.9671,-22.525,187.803,-0.4498,-3.0666
2012/3/1,15899.667,0.608,0.03,0.9383,67.553,-58.096,0.2641,1.4
2012/6/1,6275,0.405,0.05,0.6326,-71.128,-55.922,-0.7967,-0.3667
2012/9/1,1224,0.61,-0.01,0.0102,1.65,-47.529,0.551,0.6
2012/12/1,13221.333,0.429,0.0167,0.5246,31.403,-3.389,0.4953,-0.1333
2013/3/1,16237,0.395,-0.0167,0.7871,7.999,125.355,-0.5983,1.3333
2013/6/1,3729.667,0.308,-0.0266,0.4358,-49.335,-123.61,-1.1843,0.3667
2013/9/1,7402,0.554,-0.0334,0.3631,37.238,108.289,1.5093,0.2
2013/12/1,21272.666,0.566,0.0034,0.6991,50.989,3.459,-0.3923,-2.2667
2014/3/1,-792.666,0.409,-0.0134,0.7923,-51.855,-179.073,0.5956,3.6
2014/6/1,15240.666,0.579,0.02,1.386,79.441,272.044,-0.207,2.7
2014/9/1,11162,0.471,-0.0033,0.6226,-0.802,-19.312,-0.6453,-1.0667
2014/12/1,7576,0.068,0.01,0.6932,17.118,-109.683,-1.196,-6.7
2015/3/1,7735.667,-0.006,0.01,-0.8127,-42.978,38.602,-0.9786,-8.9
2015/6/1,5001,0.612,0.0133,-1.4169,-3.289,-6.453,3.1869,1.5
2015/9/1,6290.667,0.316,0.0134,-0.0186,-3.252,-70.536,-0.694,-1.4
2015/12/1,2869.666,-0.003,0.0233,-1.3592,-36.975,-51.873,-0.9153,-6.0666
2016/3/1,7053,-0.064,0.2,-0.5317,40.357,82.257,-0.1003,-3.5667
2016/6/1,432.334,0.685,0.0133,-0.5897,-6.92,-5.359,1.7973,3.3667
2016/9/1,10878.666,0.369,0.0234,0.4665,-9.293,13.079,-0.591,1.7
2016/12/1,12466.334,0.556,0.0533,0.3355,-1.529,-6.5,0.448,0
2017/3/1,7114,0.497,0.25,0.6001,-2.663,11.868,0.103,4.2
2017/6/1,1806,0.354,0.25,1.4141,0.415,-5.233,-1.431,1.8666
2017/9/1,19716.333,0.638,0.2033,-0.2098,-0.619,46.718,1.0683,0.9
2017/12/1,24610.333,0.683,0.05,1.9057,70.05,16.396,0.6017,1.6667
2018/3/1,-3444.333,0.626,0.2434,0.6006,-90.243,-43.116,0.072,3.1333
2018/6/1,3228.333,0.868,0.29,1.1992,73.101,44.091,-0.6486,3.7334
2018/9/1,8298.667,0.556,0.1866,1.3648,-15.68,-25.296,-0.0784,1.2
2018/12/1,5121,0.447,0.2967,1.0411,-64.11,-83.757,-0.3197,-1.1334
2019/3/1,22495,0.292,0.1833,-0.5306,-9.485,92.905,-0.378,-2.8333
2019/6/1,-10752.5,0.654,-0.0066,-0.3253,100.751,-47.194,1.2757,1.5
